N, x, y 
0, -10.0, -16.263600970906918
1, -9.999, -16.23479242761817
2, -9.998000000000001, -16.205980166487016
3, -9.997000000000002, -16.17716421868383
4, -9.996000000000002, -16.148344615367893
5, -9.995000000000003, -16.119521387687367
6, -9.994000000000003, -16.090694566779334
7, -9.993000000000004, -16.061864183769732
8, -9.992000000000004, -16.03303026977328
9, -9.991000000000005, -16.00419285589361
10, -9.990000000000006, -15.97535197322302
11, -9.989000000000006, -15.946507652842644
12, -9.988000000000007, -15.91765992582232
13, -9.987000000000007, -15.888808823220579
14, -9.986000000000008, -15.859954376084659
15, -9.985000000000008, -15.831096615450441
16, -9.984000000000009, -15.802235572342433
17, -9.98300000000001, -15.773371277773736
18, -9.98200000000001, -15.744503762746074
19, -9.98100000000001, -15.715633058249686
20, -9.980000000000011, -15.686759195263349
21, -9.979000000000012, -15.65788220475434
22, -9.978000000000012, -15.629002117678459
23, -9.977000000000013, -15.600118964979904
24, -9.976000000000013, -15.571232777591309
25, -9.975000000000014, -15.542343586433729
26, -9.974000000000014, -15.513451422416631
27, -9.973000000000015, -15.484556316437763
28, -9.972000000000016, -15.455658299383241
29, -9.971000000000016, -15.426757402127516
30, -9.970000000000017, -15.397853655533256
31, -9.969000000000017, -15.368947090451426
32, -9.968000000000018, -15.340037737721214
33, -9.967000000000018, -15.311125628169982
34, -9.966000000000019, -15.282210792613322
35, -9.96500000000002, -15.253293261854962
36, -9.96400000000002, -15.224373066686749
37, -9.96300000000002, -15.195450237888632
38, -9.962000000000021, -15.166524806228662
39, -9.961000000000022, -15.137596802462912
40, -9.960000000000022, -15.108666257335553
41, -9.959000000000023, -15.07973320157868
42, -9.958000000000023, -15.050797665912418
43, -9.957000000000024, -15.02185968104487
44, -9.956000000000024, -14.992919277672016
45, -9.955000000000025, -14.963976486477774
46, -9.954000000000025, -14.935031338133951
47, -9.953000000000026, -14.906083863300209
48, -9.952000000000027, -14.877134092624042
49, -9.951000000000027, -14.848182056740754
50, -9.950000000000028, -14.819227786273435
51, -9.949000000000028, -14.790271311832955
52, -9.948000000000029, -14.76131266401789
53, -9.94700000000003, -14.732351873414535
54, -9.94600000000003, -14.70338897059692
55, -9.94500000000003, -14.67442398612667
56, -9.944000000000031, -14.645456950553088
57, -9.943000000000032, -14.6164878944131
58, -9.942000000000032, -14.587516848231207
59, -9.941000000000033, -14.558543842519473
60, -9.940000000000033, -14.529568907777534
61, -9.939000000000034, -14.500592074492511
62, -9.938000000000034, -14.47161337313904
63, -9.937000000000035, -14.442632834179207
64, -9.936000000000035, -14.41365048806259
65, -9.935000000000036, -14.384666365226142
66, -9.934000000000037, -14.355680496094225
67, -9.933000000000037, -14.326692911078592
68, -9.932000000000038, -14.297703640578337
69, -9.931000000000038, -14.268712714979893
70, -9.930000000000039, -14.239720164656982
71, -9.92900000000004, -14.210726019970584
72, -9.92800000000004, -14.181730311268982
73, -9.92700000000004, -14.152733068887661
74, -9.926000000000041, -14.123734323149316
